curp,nombre,apellido_paterno,apellido_materno,fecha_nacimiento,edad,sexo,nivel_trabajo,casa,ahorros,cheques,credito_cantidad,credito_duracion,credito_proposito,riego
MAML480915,Lawrence,Marshall,Maddox,1948-09-15,70,H,3,no,moderada,26824,5949,3,otros,malo
MUPT770913,Theresa,Murray,Pereyda,1977-09-13,41,M,1,renta,moderada,37409,36668,5,TV,bueno
AOWF630118,Fran,Antonelli,Wetmore,1963-01-18,56,M,1,renta,alta,60075461,46429,24,otros,malo
AEWM250625,Michael,Ahrendt,Wheeler,1925-06-25,93,H,3,propia,pequena,2141,42188,16,negocios,bueno
DUSJ690417,Jackie,Dublin,Stickles,1969-04-17,50,M,1,renta,moderada,40832,4370,7,radio,bueno
NEKA400720,Abbie,Nekola,Kornegay,1940-07-20,78,M,2,propia,muy-grande,52292668,20414,14,linea blanca,malo
COVR001018,Reginald,Corbett,Vorse,1900-10-18,118,H,1,propia,moderada,27302,30986,7,carro,bueno
SABR060629,Rosalie,Salinas,Barta,1906-06-29,112,M,3,renta,pequena,8203,27668,9,vacaciones,bueno
NUSH090101,Helen,Nusbaum,Smith,1909-01-01,110,M,3,no,moderada,18880,47563,20,equipo,bueno
LUMR680601,Russell,Lucas,Miller,1968-06-01,50,H,1,no,pequena,8809,27493,12,carro,malo
COJX620523,Edna,Collins,Juarez,1962-05-23,56,M,1,propia,muy-grande,99791754,37408,19,linea blanca,bueno
LEFB170715,Bryan,Lee,Franca,1917-07-15,101,H,2,propia,moderada,42580,41895,22,carro,bueno
NOKJ041020,Jeffrey,Norris,Krahn,1904-10-20,114,H,3,no,pequena,9528,47156,20,linea blanca,malo
BUSG760622,Glenda,Butler,Smith,1976-06-22,42,M,3,propia,muy-grande,6212697,1031,13,TV,malo
GELK350603,Katherine,Green,Long,1935-06-03,83,M,3,no,alta,75679221,18043,21,muebles,bueno
RORA710614,Adele,Romero,Rances,1971-06-14,47,M,3,no,muy-grande,61778737,43832,11,otros,malo
PEST860501,Taylor,Petrie,Solares,1986-05-01,32,H,3,renta,moderada,18031,2598,5,vacaciones,bueno
NAHZ570210,Zenaida,Nabb,Hussey,1957-02-10,62,M,2,propia,pequena,7387,45507,6,radio,malo
TUHJ410323,Janice,Turner,Holliday,1941-03-23,78,M,0,renta,pequena,817,30029,3,vacaciones,malo
EEML070708,Lee,Englehart,Maxwell,1907-07-08,111,M,3,no,muy-grande,65487207,35190,11,otros,malo
LABC410629,Charles,Langehennig,Beebe,1941-06-29,77,H,1,no,alta,71756595,6824,13,negocios,bueno
DIFI051106,Irene,Dismuke,Ford,1905-11-06,113,M,3,no,alta,32673055,11493,3,equipo,bueno
CEAT791008,Twila,Cheney,Adams,1979-10-08,39,M,2,renta,muy-grande,90152007,22745,20,muebles,malo
DUCF890712,Frances,Drummond,Coleman,1989-07-12,29,M,1,no,alta,57840373,42841,14,TV,bueno
MOSA000201,Anthony,Morgan,Summerfield,2000-02-01,19,H,0,no,alta,37383145,48921,9,negocios,bueno
TAWT450524,Terrie,Taylor,Walker,1945-05-24,73,M,2,propia,pequena,5758,8968,10,reparaciones,bueno
LUBJ850522,Jason,Lucius,Benitez,1985-05-22,33,H,0,no,pequena,6271,27852,7,TV,bueno
CAWB650926,Bessie,Calloway,White,1965-09-26,53,M,1,no,moderada,10014,28881,23,educacion,bueno
MAMR110622,Robert,Marshall,Monsen,1911-06-22,107,H,3,renta,moderada,23387,37196,18,carro,malo
ROLS300105,Shannon,Robertson,Li,1930-01-05,89,M,2,no,alta,53014019,48569,24,linea blanca,bueno
ROMW400725,William,Robertson,Mora,1940-07-25,78,H,2,propia,pequena,6394,749,12,linea blanca,malo
AEMJ820425,Jack,Absher,Mingione,1982-04-25,37,H,1,propia,moderada,33736,14492,24,negocios,bueno
JEOT990225,Todd,Jenkins,Ochoa,1999-02-25,20,H,1,propia,moderada,48414,20766,12,TV,bueno
HAIZ990916,Zachary,Harris,Irish,1999-09-16,19,H,2,propia,moderada,19716,2091,20,reparaciones,malo
FOPP940330,Patrice,Floyd,Putman,1994-03-30,25,M,3,no,pequena,9928,48411,4,otros,malo
SESJ410511,Jimmy,Sheppard,Sullivan,1941-05-11,77,H,1,no,muy-grande,75013461,17002,4,otros,malo
HAWW951128,Wendy,Harrower,Windham,1995-11-28,23,M,0,no,alta,25563955,32501,22,equipo,bueno
CATS700601,Stella,Castro,Thomas,1970-06-01,48,M,1,propia,alta,31520572,24763,9,reparaciones,bueno
MIDD350513,Daniel,Mitchell,Dixon,1935-05-13,83,H,0,propia,moderada,37721,9373,24,otros,bueno
MICJ830626,John,Miller,Caddick,1983-06-26,35,H,1,renta,pequena,6624,20404,24,radio,bueno
SOBJ021024,Jason,Sorenson,Benavidez,1902-10-24,116,H,2,propia,moderada,16306,21407,7,TV,bueno
SOML920125,Lester,Shotwell,Mccall,1992-01-25,27,H,3,propia,muy-grande,7031306,8741,8,negocios,malo
NIMG780114,Gladys,Nichols,Mitchell,1978-01-14,41,M,0,propia,alta,65716436,35923,13,negocios,malo
DIMC890626,Callie,Dicks,Monaco,1989-06-26,29,M,1,renta,muy-grande,60838596,23881,12,negocios,bueno
JACK831031,Kimberly,Jackiewicz,Carrasco,1983-10-31,35,M,1,propia,muy-grande,85247140,22431,18,radio,bueno
MIMJ050125,John,Miller,Mitchell,1905-01-25,114,H,1,propia,muy-grande,80725051,19966,22,linea blanca,bueno
SOHM460522,Mike,Sobel,Hungate,1946-05-22,72,H,1,no,alta,27249083,25576,21,reparaciones,bueno
SIEL121130,Lloyd,Smith,Easterling,1912-11-30,106,H,0,no,alta,79465053,10401,4,equipo,bueno
CAMS930518,Sarah,Campos,Maisey,1993-05-18,25,M,1,no,moderada,21954,30214,12,carro,malo
LOBR880325,Richard,Loper,Brummett,1988-03-25,31,H,1,no,moderada,49052,722,13,vacaciones,malo
SAJF840124,Frank,Salas,Jernigan,1984-01-24,35,H,2,no,alta,10963198,30115,8,TV,malo
EIHV900722,Violet,Edington,Hopper,1990-07-22,28,M,0,propia,alta,42001311,2249,18,educacion,malo
JOKA641217,Alan,Johnson,Kesler,1964-12-17,54,H,1,renta,moderada,47818,32680,13,equipo,malo
PEBS131222,Sophia,Persing,Blackwell,1913-12-22,105,M,1,no,muy-grande,44772990,2120,20,vacaciones,bueno
HECJ690105,James,Hernandez,Caldwell,1969-01-05,50,H,1,renta,muy-grande,59332719,19972,14,carro,bueno
COVJ981120,Joseph,Cottrell,Vessell,1998-11-20,20,H,2,propia,moderada,30563,44942,23,muebles,malo
ROMG670330,Gail,Rodgers,Martin,1967-03-30,52,M,3,renta,muy-grande,2453079,13940,22,vacaciones,bueno
MESE470822,Elizabeth,Myers,Souter,1947-08-22,71,M,3,propia,moderada,24584,1799,8,linea blanca,bueno
TUWW550227,Willie,Turner,Waddell,1955-02-27,64,H,2,no,moderada,42281,43415,11,educacion,bueno
LODJ630514,Jorge,Loredo,Davis,1963-05-14,55,H,0,propia,muy-grande,59711710,42780,22,vacaciones,bueno
RAKM780204,Mark,Radloff,Kanemoto,1978-02-04,41,H,3,renta,pequena,4613,19129,16,equipo,malo
SIKM990616,Mark,Smith,Keeley,1999-06-16,19,H,0,no,muy-grande,51043811,32426,21,equipo,bueno
HAIC750503,Cheryl,Hamilton,Irving,1975-05-03,43,M,1,renta,alta,33225563,44921,12,negocios,malo
SAMV181025,Virgil,Sampson,Macdonald,1918-10-25,100,H,0,propia,alta,75682130,42341,11,vacaciones,malo
GALJ671101,James,Graham,Lovett,1967-11-01,51,H,0,renta,moderada,23421,15353,8,carro,malo
KELR931115,Roy,Klein,Lahr,1993-11-15,25,H,3,renta,muy-grande,87998060,10688,13,muebles,bueno
LEHJ580215,Jacklyn,Lee,Himenez,1958-02-15,61,M,1,renta,muy-grande,78445959,40810,17,negocios,bueno
BONK170525,Kathleen,Boyd,Nelson,1917-05-25,101,M,2,renta,muy-grande,82143264,25506,14,radio,malo
ROPC201120,Carolyn,Robinson,Papa,1920-11-20,98,M,2,renta,alta,19858376,39797,16,negocios,bueno
OOWK591211,Kelly,Orozco,Weinstein,1959-12-11,59,M,0,propia,muy-grande,6372409,3380,18,reparaciones,bueno
SOSF961221,Francine,Short,Schueller,1996-12-21,22,M,3,no,moderada,35024,22992,21,linea blanca,malo
SEAK520922,Kimberly,Stewart,Agosto,1952-09-22,66,M,2,propia,pequena,2309,12052,14,radio,malo
AEMG411126,Guy,Allen,Michaud,1941-11-26,77,H,1,renta,moderada,41879,23243,13,educacion,malo
WAHR840531,Ryan,Waldschmidt,Hamill,1984-05-31,34,H,1,propia,muy-grande,6911464,44106,4,equipo,malo
KACE410305,Edward,Kahn,Curcio,1941-03-05,78,H,2,propia,pequena,1072,35335,7,negocios,bueno
PODD500316,Debbie,Powell,Drummond,1950-03-16,69,M,3,propia,alta,21150120,37959,13,educacion,malo
GOAA390213,Albert,Golston,Avalos,1939-02-13,80,H,1,renta,pequena,9921,40110,9,equipo,bueno
WIBK221112,Kristie,Wilmot,Brown,1922-11-12,96,M,3,no,pequena,3737,21061,14,otros,malo
AINV881219,Valarie,Avila,Nguyen,1988-12-19,30,M,0,no,muy-grande,32352582,33509,22,TV,bueno
WEHJ340524,Jose,Wester,Holcomb,1934-05-24,84,H,2,no,moderada,21530,45772,24,educacion,bueno
WADL100502,Louis,Warner,Day,1910-05-02,108,H,1,no,moderada,46308,37792,9,negocios,malo
SACK200617,Kathy,Saldana,Cork,1920-06-17,98,M,3,renta,pequena,1935,1775,22,reparaciones,malo
FADY170613,Yuko,Flanigan,Dix,1917-06-13,101,M,2,no,moderada,48055,1478,3,linea blanca,bueno
MABH320107,Hector,Machak,Bowman,1932-01-07,87,H,0,propia,pequena,1775,45824,21,vacaciones,bueno
WEIE191111,Elfrieda,Weech,Ikehara,1919-11-11,99,M,2,no,muy-grande,50367716,13347,8,otros,malo
HAHK290420,Kathleen,Hawkins,Hinderliter,1929-04-20,90,M,3,no,muy-grande,79412002,26336,4,linea blanca,malo
CUBW981028,William,Curren,Barrett,1998-10-28,20,H,0,renta,muy-grande,54271367,39215,17,equipo,malo
JOHP370108,Phung,Jones,Humphreys,1937-01-08,82,M,1,no,alta,11260007,27533,13,otros,bueno
COHM310113,Melissa,Cox,Hall,1931-01-13,88,M,2,renta,alta,61876838,42655,7,otros,malo
NIJT170723,Thomas,Nimox,Johnson,1917-07-23,101,H,0,no,moderada,17242,46880,22,vacaciones,bueno
UOSA550423,Alma,Upton,Smith,1955-04-23,64,M,3,no,muy-grande,85999096,48669,4,TV,malo
GOSJ510331,Juanita,Goshay,Sandoval,1951-03-31,68,M,2,no,moderada,23365,46513,21,vacaciones,bueno
MOWJ350526,James,Moore,Wasilewski,1935-05-26,83,H,1,renta,alta,48448185,35713,22,linea blanca,malo
MEWB330611,Brenda,Messier,Wessels,1933-06-11,85,M,2,no,alta,15328047,29241,2,otros,bueno
BOWM781111,Michael,Brown,Wilson,1978-11-11,40,H,3,propia,moderada,12942,38064,17,otros,bueno
MAAC790426,Clinton,Martin,Andrews,1979-04-26,40,H,2,propia,moderada,22781,40185,14,equipo,malo
SEGK290907,Kate,Self,Gardiner,1929-09-07,89,M,3,propia,alta,99144024,7599,18,vacaciones,bueno
COOJ261103,Jeremy,Cohen,Otte,1926-11-03,92,H,3,renta,moderada,49204,43017,13,reparaciones,bueno
HEHJ321005,James,Heinsohn,Hyde,1932-10-05,86,H,3,renta,pequena,1259,30921,9,equipo,malo
WIMK890218,Kevin,Wilson,Martin,1989-02-18,30,H,3,propia,pequena,4032,3633,17,reparaciones,malo
JEJM830922,Marion,Jennings,Jones,1983-09-22,35,M,3,renta,moderada,14651,46271,16,carro,bueno
MAGD560412,David,Mahan,Guess,1956-04-12,63,H,0,renta,muy-grande,99818737,31782,7,equipo,bueno
SEGC320513,Catherine,Steenken,Gonzalez,1932-05-13,86,M,1,renta,moderada,14666,29179,6,carro,bueno
CAKC330307,Carl,Champagne,Knutson,1933-03-07,86,H,1,renta,muy-grande,32914428,43958,5,linea blanca,malo
HARR780715,Ross,Harvey,Roque,1978-07-15,40,H,0,no,alta,31663248,47510,10,equipo,bueno
WOTW190307,William,Woods,Torres,1919-03-07,100,H,0,no,alta,37398789,25187,14,equipo,malo
MESS330915,Shannon,Meadows,Smith,1933-09-15,85,M,3,renta,alta,33169662,43770,5,educacion,malo
HUDK840606,Kevin,Huff,Denney,1984-06-06,34,H,1,propia,muy-grande,77154558,46511,4,muebles,malo
MAJJ070714,Judith,Marks,Julian,1907-07-14,111,M,1,no,muy-grande,91175235,48382,8,radio,malo
ABJ3807146,James,Ash,Bartlett,1938-07-14,80,H,0,propia,muy-grande,24797796,33863,14,negocios,malo
WAPJ850116,Joseph,Watkins,Perry,1985-01-16,34,H,1,renta,muy-grande,44226825,7542,15,educacion,malo
BAHR990524,Robert,Bray,Hall,1999-05-24,19,H,1,renta,alta,69228945,9345,14,muebles,malo
SIGK861219,Kenneth,Smith,Gatlin,1986-12-19,32,H,2,renta,pequena,9700,16232,20,linea blanca,bueno
JASO121228,Otis,Jackson,Sullivan,1912-12-28,106,H,3,propia,alta,94726820,41321,18,reparaciones,bueno
FUJJ051113,James,Furnace,Jenkins,1905-11-13,113,H,2,propia,moderada,33263,45484,2,educacion,malo
BUMT490815,Tyrone,Butler,Mitchell,1949-08-15,69,H,2,no,muy-grande,75538446,19491,8,TV,bueno
OIRM660507,Miguel,Ortiz,Riehl,1966-05-07,52,H,1,renta,pequena,1309,15346,18,negocios,bueno
WICG191122,Gloria,Williamson,Chavez,1919-11-22,99,M,2,renta,alta,96157884,32420,16,otros,malo
MODM851105,Mona,Mohseni,Davison,1985-11-05,33,M,0,renta,moderada,20933,16951,14,radio,malo
PATB540117,Becky,Patrick,Triplett,1954-01-17,65,M,1,no,alta,2059909,156,24,vacaciones,malo
WISD200426,Dale,Whittaker,Styles,1920-04-26,99,H,0,propia,muy-grande,33924064,40219,11,otros,bueno
RODK091014,Kellie,Rostad,Demora,1909-10-14,109,M,0,renta,moderada,15938,45644,24,linea blanca,malo
WIHA980406,Alan,Williams,Hagins,1998-04-06,21,H,2,no,alta,86985937,6275,7,vacaciones,malo
GEFJ010613,Johnny,Greene,Fancher,1901-06-13,117,H,2,renta,pequena,5892,18030,5,otros,malo
JOPJ740618,James,Johnson,Patterson,1974-06-18,44,H,0,renta,pequena,8065,44823,13,radio,bueno
NEMM311228,Mike,Negron,Montes,1931-12-28,87,H,3,no,pequena,3722,14777,10,linea blanca,bueno
GESD180202,Donald,Gregory,Soehl,1918-02-02,101,H,1,propia,moderada,28738,27172,21,equipo,bueno
VIML050821,Lori,Vick,Moore,1905-08-21,113,M,0,propia,alta,32663505,22769,18,linea blanca,bueno
FESK840125,Kiyoko,French,Sokol,1984-01-25,35,M,2,no,pequena,5736,2250,5,vacaciones,bueno
KISJ930222,Joseph,Kirby,Stephens,1993-02-22,26,H,1,renta,muy-grande,87812293,18142,18,muebles,malo
SIDJ980222,Jerome,Smith,Davidson,1998-02-22,21,H,2,propia,pequena,2040,49740,23,vacaciones,bueno
POKB370312,Betty,Plourde,Killeagle,1937-03-12,82,M,3,propia,pequena,274,43831,8,vacaciones,bueno
ROBW540524,William,Roberts,Burke,1954-05-24,64,H,0,no,alta,30747597,26752,10,reparaciones,malo
AALD010930,Danyelle,Abrams,Love,1901-09-30,117,M,1,propia,alta,58221315,18703,15,educacion,malo
OETK861120,Karon,Oge,Tully,1986-11-20,32,M,2,renta,muy-grande,30543248,854,15,linea blanca,bueno
SEMT080830,Tracy,Segura,Mcmahen,1908-08-30,110,H,1,propia,pequena,1227,19016,15,otros,bueno
HONC970506,Charles,Holliday,Nixon,1997-05-06,21,H,0,no,alta,93551521,33901,11,vacaciones,bueno
VAIE330628,Elaine,Vandesande,Iles,1933-06-28,85,M,3,propia,pequena,7001,28664,8,reparaciones,malo
PIPJ191110,Jane,Pittman,Perez,1919-11-10,99,M,1,propia,moderada,38290,41160,19,muebles,bueno
WICD670221,David,Wiswell,Clark,1967-02-21,52,H,1,no,pequena,4289,45749,21,educacion,bueno
RAPL410922,Linda,Ramirez,Pena,1941-09-22,77,M,1,renta,muy-grande,89133368,42312,5,equipo,malo
CISH640822,Hubert,Cirillo,So,1964-08-22,54,H,0,no,muy-grande,98621097,29532,4,radio,malo
JOBJ251205,Josephine,Johnson,Bryant,1925-12-05,93,M,0,no,muy-grande,41342427,26459,23,carro,malo
MAMM500927,Michael,Matthews,Moreno,1950-09-27,68,H,2,no,muy-grande,82252275,31225,2,radio,bueno
GAJT190424,Timothy,Gay,Jackson,1919-04-24,100,H,2,no,muy-grande,95270466,41679,6,vacaciones,bueno
LECS240614,Sandra,Lee,Christ,1924-06-14,94,M,1,no,alta,20899828,8927,6,radio,bueno
EICS500509,Samuel,Espinoza,Cole,1950-05-09,68,H,3,propia,muy-grande,7006655,16507,11,negocios,malo
MASS930424,Stephanie,Marcantonio,Stott,1993-04-24,26,M,0,propia,muy-grande,44164773,19933,10,muebles,bueno
SITT791219,Tina,Smith,Thompson,1979-12-19,39,M,0,no,pequena,334,5656,5,otros,malo
SISD961024,Donald,Swinerton,Seay,1996-10-24,22,H,3,no,muy-grande,68497467,14908,17,linea blanca,malo
LACA110830,Andrea,Lawhorn,Condrey,1911-08-30,107,M,0,renta,moderada,43742,45814,11,TV,bueno
OAMT070629,Tomas,Oldham,Marshall,1907-06-29,111,H,0,no,muy-grande,24538762,34366,9,radio,malo
ROBM910515,Maria,Rodriguez,Bilger,1991-05-15,27,M,2,no,muy-grande,93611664,22120,11,TV,malo
DEWR350915,Rachel,Delfuente,Wagner,1935-09-15,83,M,1,no,alta,71036818,42757,16,negocios,malo
CODC101118,Chrystal,Coker,Daniels,1910-11-18,108,M,1,propia,muy-grande,75802895,8885,6,linea blanca,bueno
DAGO530215,Oscar,Davis,Greene,1953-02-15,66,H,2,propia,muy-grande,26654569,31177,18,carro,malo
YOCA180130,Annie,Young,Cosgrove,1918-01-30,101,M,3,propia,pequena,6779,36660,19,TV,malo
SEMM620709,Mercedes,Sherman,Mcquirk,1962-07-09,56,M,3,renta,muy-grande,52792452,17249,13,vacaciones,bueno
EIBS511230,Sandra,Ellis,Bordelon,1951-12-30,67,M,2,renta,alta,93504370,14040,11,radio,bueno
MOFC230223,Charis,Morse,Floer,1923-02-23,96,M,1,no,moderada,39879,22081,11,TV,malo
MAFJ330206,Jeffrey,Marvin,Foster,1933-02-06,86,H,0,propia,pequena,5074,41884,21,radio,malo
HUPT230818,Tom,Huff,Petrucci,1923-08-18,95,H,0,no,moderada,38924,9679,9,reparaciones,malo
BOGV920215,Valeria,Brock,Gibson,1992-02-15,27,M,3,renta,moderada,49552,38014,11,equipo,malo
SAOR490115,Robert,Shaw,Olivo,1949-01-15,70,H,0,renta,moderada,27100,25945,12,negocios,bueno
WICV731005,Vernell,Wilburn,Cramer,1973-10-05,45,M,2,renta,muy-grande,91891918,23170,6,muebles,malo
LODB570315,Barbara,Lozada,Davis,1957-03-15,62,M,3,renta,moderada,44668,43430,20,equipo,malo
HUNV700125,Velma,Hutton,Nunez,1970-01-25,49,M,1,no,pequena,2785,35927,2,reparaciones,malo
OERM260102,Margaret,Owens,Ross,1926-01-02,93,M,1,propia,pequena,3571,11527,15,reparaciones,malo
AAKA951011,Ann,Abadi,King,1995-10-11,23,M,2,renta,muy-grande,69981447,13312,22,linea blanca,bueno
TODB811125,Brian,Thompson,Davis,1981-11-25,37,H,2,renta,muy-grande,68227338,15319,15,muebles,bueno
WOMA100713,Alfredo,Wolfgram,Murdock,1910-07-13,108,H,0,no,pequena,8891,14594,2,carro,bueno
CIBJ780119,James,Christensen,Barner,1978-01-19,41,H,2,no,moderada,10551,3515,24,radio,malo
ROTJ960203,Jonathan,Rosso,True,1996-02-03,23,H,1,no,alta,851412,28320,15,negocios,bueno
SACA481030,Alexis,Schnarr,Caudill,1948-10-30,70,H,0,renta,alta,16553451,37768,10,muebles,malo
LASG710227,Gerald,Lawrence,Spegal,1971-02-27,48,H,0,propia,moderada,35014,39524,14,negocios,malo
BORB600301,Brian,Brown,Russel,1960-03-01,59,H,0,no,pequena,8118,26117,6,educacion,malo
ROTR090902,Ronald,Rodrequez,Taylor,1909-09-02,109,H,3,renta,alta,52552091,45276,11,muebles,bueno
JALP870408,Patricia,Jasper,Lites,1987-04-08,32,M,2,renta,moderada,31870,28352,14,muebles,bueno
GOMH920605,Hugh,Groll,Mcalary,1992-06-05,26,H,0,renta,pequena,8385,43631,5,otros,malo
EEEV590124,Victoria,Estrella,Everett,1959-01-24,60,M,2,no,alta,77513962,2519,17,TV,malo
HEBD210702,Dante,Hester,Byas,1921-07-02,97,H,3,renta,moderada,14558,31770,22,reparaciones,bueno
SOBD980621,Daniel,Stonge,Block,1998-06-21,20,H,3,renta,muy-grande,36876563,39912,14,radio,bueno
FEER860218,Robyn,Few,Evans,1986-02-18,33,M,2,no,alta,67132857,11446,24,otros,bueno
EIDP960702,Patricia,Emily,Davis,1996-07-02,22,M,1,propia,pequena,8750,25536,8,otros,bueno
PEJW900709,William,Petersen,Jordan,1990-07-09,28,H,2,renta,moderada,38100,3446,24,negocios,bueno
CACR551026,Ryan,Carroll,Caffrey,1955-10-26,63,H,0,renta,alta,43574820,18989,5,linea blanca,bueno
KOJG310316,Gladys,Koch,Jenkins,1931-03-16,88,M,0,renta,muy-grande,45012048,9131,5,carro,malo
KEWW390624,Wesley,Kennedy,Wines,1939-06-24,79,H,2,renta,moderada,26043,11811,11,vacaciones,malo
LUGD261004,Daniel,Lumpkin,Gomez,1926-10-04,92,H,0,no,moderada,35704,45592,24,linea blanca,bueno
LOGC710129,Cecil,Lopez,Greene,1971-01-29,48,H,1,no,moderada,45378,25120,5,radio,malo
WACR840802,Richard,Wade,Choudhury,1984-08-02,34,H,3,propia,pequena,9480,38054,13,educacion,bueno
CIBS690615,Sarah,Chick,Broadwater,1969-06-15,49,M,1,propia,moderada,42130,43355,12,negocios,bueno
PADR110808,Roberta,Parsons,Desanctis,1911-08-08,107,M,1,no,muy-grande,5115618,29615,15,TV,malo
MIBJ790426,James,Miller,Beyer,1979-04-26,40,H,0,no,alta,65366600,41654,18,vacaciones,bueno
BASJ511208,John,Baldwin,Smith,1951-12-08,67,H,0,no,pequena,5492,39385,19,TV,bueno
COTM260223,Mary,Constantine,Turner,1926-02-23,93,M,3,no,moderada,11419,44763,5,negocios,malo
NOSG400601,Gerald,Noriega,Solis,1940-06-01,78,H,2,renta,moderada,39325,22343,17,negocios,malo
ROCS700612,Samuel,Rodriguez,Cherry,1970-06-12,48,H,3,no,muy-grande,46660310,25253,3,carro,malo
FOTD140125,David,Flores,Tagg,1914-01-25,105,H,1,no,muy-grande,58538375,25536,8,educacion,bueno
BOWA781126,Alessandra,Boser,Wyatt,1978-11-26,40,M,1,renta,alta,20965753,26945,13,radio,malo
DEWK930302,Kyle,Delmonte,Waites,1993-03-02,26,H,1,propia,moderada,42954,18097,5,TV,bueno
ROHD500802,Dianne,Rodriguez,Hicks,1950-08-02,68,M,2,no,moderada,22219,16388,23,negocios,bueno
NEMJ840822,Javier,Nelson,Martindale,1984-08-22,34,H,1,renta,alta,8436113,14644,17,TV,bueno
DAHM910519,Michael,Dahlheimer,Hepburn,1991-05-19,27,H,2,propia,pequena,4928,24614,14,linea blanca,bueno
YEBJ730811,Jeff,Yeargin,Boeding,1973-08-11,45,H,1,no,moderada,45838,7654,12,negocios,malo
OEGB871211,Bonnie,Oneil,Gonzales,1987-12-11,31,M,3,no,pequena,1001,14969,23,TV,bueno
GAWB630920,Barbara,Gass,Wright,1963-09-20,55,M,0,propia,alta,75124864,29146,10,linea blanca,malo
VOGD150629,David,Voit,Geary,1915-06-29,103,H,1,propia,moderada,16959,17966,4,equipo,bueno
BUBR281108,Robert,Brunson,Bolinger,1928-11-08,90,H,2,renta,alta,54897458,25067,21,equipo,bueno
CADJ301114,Joseph,Cantu,Delozier,1930-11-14,88,H,1,propia,muy-grande,30383833,156,4,otros,bueno
BIWS431116,Sallie,Brislin,Welker,1943-11-16,75,M,3,renta,moderada,15679,5304,11,radio,bueno
PEPH630127,Hugh,Perkins,Pollard,1963-01-27,56,H,1,propia,moderada,16499,35322,8,vacaciones,malo
MAMN050927,Nikki,Mangels,Mcmillon,1905-09-27,113,M,0,no,muy-grande,74132042,14412,19,TV,bueno
PESS900902,Sharon,Peterson,Steele,1990-09-02,28,M,2,propia,alta,83048266,14403,22,TV,malo
HOBW430819,William,Hollis,Barnett,1943-08-19,75,H,1,no,moderada,33263,47925,4,equipo,bueno
MERR180918,Robert,Mckee,Rebello,1918-09-18,100,H,1,renta,muy-grande,95469704,27442,4,otros,bueno
COBN860124,Nicole,Cota,Baker,1986-01-24,33,M,3,no,pequena,7016,32686,5,linea blanca,malo
BERS051207,Susan,Brewer,Rutz,1905-12-07,113,M,3,renta,pequena,1432,11204,14,educacion,malo
FEGJ851001,Joan,Fletcher,Gilbert,1985-10-01,33,M,2,renta,moderada,31395,29723,3,muebles,bueno
ROLB290923,Belle,Rosado,Lucas,1929-09-23,89,M,2,renta,pequena,1798,599,7,reparaciones,malo
BEND590813,Donna,Bernard,Namisnak,1959-08-13,59,M,1,renta,alta,810241,19287,12,educacion,malo
MEWM940312,Micheal,Mcelwee,Wilson,1994-03-12,25,H,0,propia,moderada,13510,20215,10,vacaciones,malo
BIKP931219,Peggy,Briggs,Kirk,1993-12-19,25,M,2,renta,moderada,26687,39995,19,educacion,bueno
FOFD500914,Dave,Fortin,Freetage,1950-09-14,68,H,3,propia,muy-grande,77665448,1837,13,carro,malo
BOYA370202,Angelica,Bozarth,Yearout,1937-02-02,82,M,0,renta,pequena,6920,31333,3,educacion,malo
ROJM480507,Mary,Rosenau,Jones,1948-05-07,70,M,0,no,alta,52382277,6788,5,linea blanca,bueno
KABW770305,Willie,Kalberer,Boyd,1977-03-05,42,H,0,propia,pequena,5071,2100,15,equipo,bueno
BOHR020926,Raymond,Bonilla,Hess,1902-09-26,116,H,0,no,moderada,47687,45106,11,carro,bueno
WOFJ010505,Jennifer,Wolchesky,Farris,1901-05-05,117,M,1,no,moderada,19519,23072,4,vacaciones,bueno
SODV150809,Virginia,Scott,Devito,1915-08-09,103,M,3,propia,muy-grande,14968926,8141,15,equipo,malo
MAML731217,Leslie,Mcnamara,Mayne,1973-12-17,45,H,2,renta,muy-grande,93605688,34196,15,otros,bueno
SEYM250717,Michael,Seay,Young,1925-07-17,93,H,0,propia,muy-grande,71460840,26919,5,reparaciones,malo
NECV840404,Vivian,Nelson,Culpepper,1984-04-04,35,M,0,renta,moderada,34192,26632,3,carro,bueno
RACR061104,Raymond,Ragin,Coronado,1906-11-04,112,H,2,propia,muy-grande,18993594,45292,12,educacion,malo
PEAM860412,Matthew,Petty,Augeri,1986-04-12,33,H,3,renta,alta,31670449,28441,5,reparaciones,malo
ROSR850702,Robert,Rosenberger,Stevens,1985-07-02,33,H,0,renta,alta,65004345,35052,4,radio,bueno
JODV701119,Virginia,Jordan,Diaz,1970-11-19,48,M,1,renta,muy-grande,32821087,26186,4,TV,bueno
SAHD780501,David,Sawyer,Hillsgrove,1978-05-01,40,H,2,no,alta,38734213,3753,17,otros,bueno
SAFS911219,Shirley,Sanders,Farmer,1991-12-19,27,M,1,no,pequena,6260,11073,7,TV,malo
GAHL901012,Leah,Graham,Haley,1990-10-12,28,M,1,propia,muy-grande,2893906,28185,12,reparaciones,malo
LACT841206,Thomas,Larsen,Clark,1984-12-06,34,H,3,propia,alta,24830572,25422,16,otros,malo
SOSH600529,Hugh,Scott,Smith,1960-05-29,58,H,0,propia,alta,48579762,1594,14,muebles,malo
HAAS780727,Shelton,Hardy,Adkins,1978-07-27,40,H,1,no,pequena,8568,33357,16,equipo,bueno
